epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,660.203,1.4609,1.9191,0.74258,0.88313,0.66442,0.37543,0.43491,0.23019,0.6609,0.33045,0.40952,0.17024,1.6763,2.69362,1.01284,0.97773,0.00107553,0.00107553,0.00107553
31,681.024,1.38624,1.84862,0.73352,0.90888,0.66442,0.37543,0.43491,0.23019,0.6609,0.33045,0.40952,0.17024,1.6763,2.69362,1.01284,0.97773,0.00110467,0.00110467,0.00110467
32,701.753,1.52914,2.09661,0.7869,0.90077,0.66442,0.37543,0.43491,0.23019,0.6609,0.33045,0.40952,0.17024,1.6763,2.69362,1.01284,0.97773,0.0011331,0.0011331,0.0011331
33,721.709,1.27739,1.78867,0.70876,0.91023,0.66965,0.32872,0.41354,0.21237,0.55394,0.3045,0.36025,0.14932,1.75394,2.8272,1.04964,0.97976,0.00116081,0.00116081,0.00116081
34,741.822,1.30545,1.77776,0.71736,0.89906,0.66965,0.32872,0.41354,0.21237,0.55394,0.3045,0.36025,0.14932,1.75394,2.8272,1.04964,0.97976,0.00118778,0.00118778,0.00118778
35,763.058,1.41762,1.86406,0.71128,0.87902,0.66965,0.32872,0.41354,0.21237,0.55394,0.3045,0.36025,0.14932,1.75394,2.8272,1.04964,0.97976,0.001214,0.001214,0.001214
36,784.232,1.29117,1.7263,0.69055,0.86617,0.80839,0.35294,0.45351,0.25256,0.69872,0.33303,0.43111,0.19192,1.59125,2.6236,0.91569,0.96114,0.00123946,0.00123946,0.00123946
37,804.132,1.44433,1.9546,0.73011,0.88449,0.80839,0.35294,0.45351,0.25256,0.69872,0.33303,0.43111,0.19192,1.59125,2.6236,0.91569,0.96114,0.00126413,0.00126413,0.00126413
38,824.559,1.2573,1.64858,0.66721,0.85887,0.80839,0.35294,0.45351,0.25256,0.69872,0.33303,0.43111,0.19192,1.59125,2.6236,0.91569,0.96114,0.001288,0.001288,0.001288
39,844.239,1.2852,1.7869,0.72983,0.92253,0.77712,0.38005,0.45168,0.25272,0.76044,0.37344,0.45459,0.207,1.54182,2.94722,0.87477,0.97128,0.00131105,0.00131105,0.00131105
40,864.651,1.37863,1.99247,0.69406,0.87873,0.77712,0.38005,0.45168,0.25272,0.76044,0.37344,0.45459,0.207,1.54182,2.94722,0.87477,0.97128,0.00133328,0.00133328,0.00133328
41,884.295,1.18415,1.72851,0.64588,0.89468,0.77712,0.38005,0.45168,0.25272,0.76044,0.37344,0.45459,0.207,1.54182,2.94722,0.87477,0.97128,0.00135468,0.00135468,0.00135468
42,905.567,1.34379,1.92251,0.68966,0.89729,0.74485,0.399,0.46175,0.26583,0.73946,0.39283,0.46409,0.21611,1.52117,2.79509,0.82892,0.95685,0.00137522,0.00137522,0.00137522
43,925.825,1.19557,1.677,0.61992,0.86891,0.74485,0.399,0.46175,0.26583,0.73946,0.39283,0.46409,0.21611,1.52117,2.79509,0.82892,0.95685,0.00139489,0.00139489,0.00139489
44,947.228,1.42505,1.96168,0.70909,0.87798,0.74485,0.399,0.46175,0.26583,0.73946,0.39283,0.46409,0.21611,1.52117,2.79509,0.82892,0.95685,0.00141369,0.00141369,0.00141369
45,968.908,1.34758,1.79497,0.69548,0.87048,0.74485,0.399,0.46175,0.26583,0.73946,0.39283,0.46409,0.21611,1.52117,2.79509,0.82892,0.95685,0.00143161,0.00143161,0.00143161
46,989.749,1.38365,1.84765,0.71167,0.89838,0.77098,0.40484,0.48288,0.27592,0.74184,0.38581,0.47564,0.20997,1.51629,2.63296,0.82702,0.94638,0.00144864,0.00144864,0.00144864
47,1010.07,1.39593,2.11627,0.71627,0.90736,0.77098,0.40484,0.48288,0.27592,0.74184,0.38581,0.47564,0.20997,1.51629,2.63296,0.82702,0.94638,0.00146476,0.00146476,0.00146476
48,1030.47,1.42581,2.2452,0.75593,0.93616,0.77098,0.40484,0.48288,0.27592,0.74184,0.38581,0.47564,0.20997,1.51629,2.63296,0.82702,0.94638,0.00147996,0.00147996,0.00147996
49,1051.97,1.39707,2.03595,0.71441,0.87995,0.77098,0.40484,0.48288,0.27592,0.74184,0.38581,0.47564,0.20997,1.51629,2.63296,0.82702,0.94638,0.00149425,0.00149425,0.00149425
50,1072.63,1.42832,2.03654,0.73671,0.93351,0.72876,0.38581,0.47353,0.26622,0.69406,0.36109,0.45547,0.19194,1.54834,2.51352,0.87296,0.96378,0.00150762,0.00150762,0.00150762
51,1092.84,1.36989,1.842,0.73655,0.89047,0.72876,0.38581,0.47353,0.26622,0.69406,0.36109,0.45547,0.19194,1.54834,2.51352,0.87296,0.96378,0.001505,0.001505,0.001505
52,1114.71,1.34311,1.88601,0.71143,0.87922,0.72876,0.38581,0.47353,0.26622,0.69406,0.36109,0.45547,0.19194,1.54834,2.51352,0.87296,0.96378,0.00148694,0.00148694,0.00148694
